year,weekofyear,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases,season
2007,37,16.65,295.162857143,26.9,21.4,7,summer
2007,38,17.3671428571,295.834285714,27.2,21.6,5,summer
2008,27,15.2857142857,293.83,27.2,20.8,0,summer
2008,28,15.08,293.594285714,27.2,21.0,3,summer
2008,29,16.1428571429,294.691428571,27.2,21.0,3,summer
2008,30,16.5828571429,295.002857143,26.6,20.8,1,summer
2008,31,16.8728571429,295.37,26.68,20.6,5,summer
2008,32,17.0571428571,295.505714286,27.4,18.5,2,summer
2008,33,16.8471428571,295.347142857,27.9,19.8,5,summer
2008,34,15.9985714286,294.418571429,28.0,19.2,5,summer
2008,35,16.6528571429,295.092857143,27.8333333333,20.4,5,summer
2008,36,16.4657142857,294.861428571,27.35,20.4,9,summer
2008,37,17.03,295.484285714,27.9666666667,20.8,17,summer
2008,38,16.8185714286,295.307142857,27.8,20.7,19,summer
2009,27,16.8742857143,295.357142857,27.45,21.4,1,summer
2009,28,16.68,295.167142857,27.6,21.6,2,summer
2009,29,16.92,295.411428571,26.825,21.3,0,summer
2009,30,15.51,294.052857143,26.95,21.0,0,summer
2009,31,16.6028571429,295.045714286,27.0,20.5,3,summer
2009,32,16.3371428571,294.824285714,27.975,20.5,5,summer
2009,33,17.04,295.507142857,27.7,21.0,5,summer
2009,34,16.2285714286,294.708571429,28.32,21.2,7,summer
2009,35,18.1228571429,296.444285714,29.0,22.0,5,summer
2009,36,17.9885714286,296.388571429,27.6,21.0,2,summer
2009,37,15.8657142857,294.314285714,29.1666666667,21.4,2,summer
2009,38,16.2028571429,294.618571429,28.85,20.4,2,summer
