,week_start_date,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases
1991-04-08/1991-04-14,1991-04-09,14.9928571429,293.615714286,25.3,21.1,15.0
1991-04-15/1991-04-21,1991-04-16,13.7328571429,292.17,25.5142857143,21.1,23.0
1991-04-22/1991-04-28,1991-04-23,15.4614285714,294.028571429,26.5285714286,21.7,16.0
1991-04-29/1991-05-05,1991-04-30,16.3142857143,294.97,27.3142857143,22.8,17.0
1991-05-06/1991-05-12,1991-05-07,16.1857142857,294.812857143,26.9285714286,22.8,12.0
1991-05-13/1991-05-19,1991-05-14,15.9742857143,294.618571429,26.5285714286,22.8,17.0
1991-05-20/1991-05-26,1991-05-21,16.5014285714,295.124285714,27.3857142857,22.8,10.0
1991-05-27/1991-06-02,1991-05-28,16.6457142857,295.274285714,27.9428571429,23.3,15.0
1991-06-03/1991-06-09,1991-06-04,16.3242857143,294.925714286,28.0714285714,23.3,19.0
1991-06-10/1991-06-16,1991-06-11,16.8828571429,295.492857143,28.2285714286,23.9,21.0
1991-06-17/1991-06-23,1991-06-18,17.7042857143,296.3,28.9285714286,25.0,14.0
1991-06-24/1991-06-30,1991-06-25,17.6285714286,296.228571429,27.9142857143,22.8,18.0
1991-07-01/1991-07-07,1991-07-02,17.3528571429,295.945714286,28.3714285714,23.9,13.0
1991-07-08/1991-07-14,1991-07-09,17.1514285714,295.791428571,28.4142857143,24.4,14.0
1991-07-15/1991-07-21,1991-07-16,17.4728571429,296.081428571,28.8,23.9,18.0
1991-07-22/1991-07-28,1991-07-23,17.7342857143,296.332857143,28.0,24.4,23.0
1991-07-29/1991-08-04,1991-07-30,17.8785714286,296.478571429,28.5714285714,25.0,25.0
1991-08-05/1991-08-11,1991-08-06,17.8957142857,296.468571429,28.5,24.4,62.0
1991-08-12/1991-08-18,1991-08-13,17.9114285714,296.484285714,29.4285714286,25.6,60.0
1991-08-19/1991-08-25,1991-08-20,18.0114285714,296.581428571,29.2714285714,24.4,76.0
1991-08-26/1991-09-01,1991-08-27,18.0914285714,296.67,28.1571428571,23.9,66.0
1991-09-02/1991-09-08,1991-09-03,18.2628571429,296.798571429,28.9428571429,24.4,64.0
1991-09-09/1991-09-15,1991-09-10,17.8957142857,296.451428571,28.9714285714,23.3,68.0
1991-09-16/1991-09-22,1991-09-17,18.4,296.901428571,28.9142857143,24.4,89.0
1991-09-23/1991-09-29,1991-09-24,18.0442857143,296.59,28.1428571429,24.4,92.0
1991-09-30/1991-10-06,1991-10-01,17.85,296.397142857,27.7428571429,23.3,140.0
1991-10-07/1991-10-13,1991-10-08,17.3442857143,295.887142857,27.6571428571,22.8,116.0
1991-10-14/1991-10-20,1991-10-15,17.4314285714,296.018571429,28.5428571429,24.4,142.0
1991-10-21/1991-10-27,1991-10-22,16.85,295.455714286,27.8285714286,23.3,129.0
1991-10-28/1991-11-03,1991-10-29,17.3757142857,295.918571429,28.1142857143,24.4,140.0
1991-11-04/1991-11-10,1991-11-05,16.9671428571,295.567142857,27.1857142857,22.8,140.0
1991-11-11/1991-11-17,1991-11-12,17.0614285714,295.615714286,26.6571428571,22.2,127.0
1991-11-18/1991-11-24,1991-11-19,15.46,294.03,26.3142857143,22.2,129.0
1991-11-25/1991-12-01,1991-11-26,16.3228571429,294.938571429,26.2714285714,22.2,169.0
1991-12-02/1991-12-08,1991-12-03,16.34,294.974285714,26.7285714286,23.3,141.0
1991-12-09/1991-12-15,1991-12-10,15.8842857143,294.514285714,25.6142857143,21.7,108.0
1991-12-16/1991-12-22,1991-12-17,14.3357142857,292.865714286,25.0,20.6,78.0
1991-12-23/1991-12-29,1991-12-24,13.6357142857,292.045714286,24.3571428571,19.4,70.0
1991-12-30/1992-01-05,1992-01-01,13.6357142857,292.045714286,24.3571428571,19.4,81.0
1992-01-06/1992-01-12,1992-01-08,15.8785714286,294.457142857,25.6571428571,20.6,104.0
1992-01-13/1992-01-19,1992-01-15,15.8328571429,294.467142857,25.4714285714,21.7,90.0
1992-01-20/1992-01-26,1992-01-22,14.4828571429,293.021428571,24.8571428571,20.0,85.0
1992-01-27/1992-02-02,1992-01-29,14.1857142857,292.718571429,24.8,20.0,55.0
1992-02-03/1992-02-09,1992-02-05,14.1228571429,292.617142857,24.7142857143,20.0,53.0
1992-02-10/1992-02-16,1992-02-12,16.06,294.65,26.0285714286,20.0,65.0
1992-02-17/1992-02-23,1992-02-19,15.0128571429,293.628571429,25.7571428571,21.7,33.0
1992-02-24/1992-03-01,1992-02-26,14.3814285714,292.967142857,25.2857142857,21.7,38.0
1992-03-02/1992-03-08,1992-03-04,14.7014285714,293.317142857,25.6571428571,20.6,59.0
1992-03-09/1992-03-15,1992-03-11,14.9442857143,293.54,25.7857142857,21.7,40.0
1992-03-16/1992-03-22,1992-03-18,15.1357142857,293.708571429,26.1,21.7,37.0
1992-03-23/1992-03-29,1992-03-25,14.9685714286,293.578571429,26.2,22.2,29.0
1992-03-30/1992-04-05,1992-04-01,15.2642857143,293.884285714,26.2285714286,21.7,30.0
1992-04-06/1992-04-12,1992-04-08,15.6128571429,294.195714286,26.9857142857,21.7,30.0
1992-04-13/1992-04-19,1992-04-15,16.3242857143,294.942857143,26.8142857143,22.8,28.0
1992-04-20/1992-04-26,1992-04-22,15.4528571429,294.048571429,26.6714285714,22.2,23.0
1992-04-27/1992-05-03,1992-04-29,14.9,293.4,27.3714285714,23.3,24.0
1992-05-04/1992-05-10,1992-05-06,15.75,294.221428571,26.7857142857,22.2,29.0
1992-05-11/1992-05-17,1992-05-13,15.6871428571,294.275714286,27.4428571429,22.8,26.0
1992-05-18/1992-05-24,1992-05-20,17.2328571429,295.767142857,27.8571428571,23.3,23.0
1992-05-25/1992-05-31,1992-05-27,17.8328571429,296.334285714,27.4285714286,23.9,20.0
1992-06-01/1992-06-07,1992-06-03,17.9957142857,296.522857143,27.5,22.8,19.0
1992-06-08/1992-06-14,1992-06-10,17.57,296.154285714,28.2,24.4,20.0
1992-06-15/1992-06-21,1992-06-17,17.4414285714,296.042857143,28.2857142857,24.4,26.0
1992-06-22/1992-06-28,1992-06-24,17.8071428571,296.384285714,28.4857142857,23.9,29.0
1992-06-29/1992-07-05,1992-07-01,17.6671428571,296.275714286,29.2285714286,25.6,31.0
1992-07-06/1992-07-12,1992-07-08,17.5685714286,296.198571429,28.7285714286,24.4,28.0
1992-07-13/1992-07-19,1992-07-15,17.43,296.052857143,27.6285714286,23.9,26.0
1992-07-20/1992-07-26,1992-07-22,17.2485714286,295.875714286,27.5571428571,23.3,32.0
1992-07-27/1992-08-02,1992-07-29,17.1142857143,295.745714286,27.9714285714,22.8,35.0
1992-08-03/1992-08-09,1992-08-05,17.5471428571,296.158571429,28.0714285714,23.3,33.0
1992-08-10/1992-08-16,1992-08-12,17.4157142857,296.007142857,27.6714285714,22.8,30.0
1992-08-17/1992-08-23,1992-08-19,17.6014285714,296.214285714,28.2142857143,24.4,52.0
1992-08-24/1992-08-30,1992-08-26,17.4585714286,296.057142857,28.2714285714,23.9,59.0
1992-08-31/1992-09-06,1992-09-02,17.5642857143,296.175714286,28.7285714286,24.4,67.0
1992-09-07/1992-09-13,1992-09-09,17.3528571429,295.937142857,28.0285714286,23.9,65.0
1992-09-14/1992-09-20,1992-09-16,17.5414285714,296.111428571,28.1428571429,23.9,74.0
1992-09-21/1992-09-27,1992-09-23,17.7514285714,296.281428571,27.5571428571,23.3,70.0
1992-09-28/1992-10-04,1992-09-30,17.6042857143,296.13,27.9714285714,23.3,61.0
1992-10-05/1992-10-11,1992-10-07,17.8971428571,296.424285714,28.8857142857,23.9,53.0
1992-10-12/1992-10-18,1992-10-14,17.3085714286,295.892857143,29.1571428571,25.0,76.0
1992-10-19/1992-10-25,1992-10-21,17.0442857143,295.645714286,28.6571428571,23.9,61.0
1992-10-26/1992-11-01,1992-10-28,17.2471428571,295.805714286,28.6714285714,23.9,57.0
1992-11-02/1992-11-08,1992-11-04,17.73,296.27,28.3857142857,22.2,44.0
1992-11-09/1992-11-15,1992-11-11,16.4814285714,295.074285714,27.5428571429,22.8,34.0
1992-11-16/1992-11-22,1992-11-18,16.0671428571,294.652857143,26.6857142857,22.2,47.0
1992-11-23/1992-11-29,1992-11-25,17.5285714286,296.041428571,27.4,23.3,60.0
1992-11-30/1992-12-06,1992-12-02,16.6785714286,295.252857143,26.6285714286,22.2,60.0
1992-12-07/1992-12-13,1992-12-09,16.0242857143,294.65,26.9142857143,22.2,53.0
1992-12-14/1992-12-20,1992-12-16,15.2514285714,293.828571429,26.6857142857,21.7,36.0
1992-12-21/1992-12-27,1992-12-23,14.3242857143,292.8,25.9142857143,21.7,31.0
1992-12-28/1993-01-03,1993-01-01,14.3242857143,292.8,25.9142857143,21.7,30.0
1993-01-04/1993-01-10,1993-01-08,15.52,294.15,25.8714285714,21.7,32.0
1993-01-11/1993-01-17,1993-01-15,14.4671428571,293.068571429,24.5,20.6,28.0
1993-01-18/1993-01-24,1993-01-22,14.49,293.075714286,24.8571428571,20.0,33.0
1993-01-25/1993-01-31,1993-01-29,14.3071428571,292.841428571,24.4,20.0,33.0
1993-02-01/1993-02-07,1993-02-05,15.4528571429,294.032857143,26.6714285714,19.4,35.0
1993-02-08/1993-02-14,1993-02-12,14.3857142857,292.871428571,25.4285714286,20.6,22.0
1993-02-15/1993-02-21,1993-02-19,14.7528571429,293.342857143,26.2714285714,20.6,13.0
1993-02-22/1993-02-28,1993-02-26,13.8271428571,292.301428571,25.7,20.6,13.0
1993-03-01/1993-03-07,1993-03-05,13.4942857143,291.911428571,25.5714285714,21.1,21.0
1993-03-08/1993-03-14,1993-03-12,12.5828571429,290.775714286,24.9,19.4,17.0
1993-03-15/1993-03-21,1993-03-19,15.0642857143,293.692857143,26.9285714286,21.1,11.0
1993-03-22/1993-03-28,1993-03-26,14.6485714286,293.222857143,26.1428571429,20.6,8.0
1993-03-29/1993-04-04,1993-04-02,15.2,293.812857143,26.8857142857,22.2,8.0
1993-04-05/1993-04-11,1993-04-09,15.1628571429,293.752857143,27.2,21.1,6.0
1993-04-12/1993-04-18,1993-04-16,15.5,294.065714286,27.0714285714,22.2,6.0
1993-04-19/1993-04-25,1993-04-23,15.4885714286,294.072857143,25.8714285714,21.7,7.0
1993-04-26/1993-05-02,1993-04-30,16.5971428571,295.194285714,27.4857142857,22.2,12.0
1993-05-03/1993-05-09,1993-05-07,16.6585714286,295.26,26.9428571429,22.2,17.0
1993-05-10/1993-05-16,1993-05-14,16.2671428571,294.847142857,26.4714285714,22.8,10.0
1993-05-17/1993-05-23,1993-05-21,16.8571428571,295.324285714,28.2285714286,23.3,10.0
1993-05-24/1993-05-30,1993-05-28,18.1857142857,296.675714286,28.9428571429,23.3,18.0
1993-05-31/1993-06-06,1993-06-04,17.9514285714,296.451428571,27.6428571429,22.8,19.0
1993-06-07/1993-06-13,1993-06-11,18.4914285714,296.978571429,29.9,25.0,12.0
1993-06-14/1993-06-20,1993-06-18,17.13,295.742857143,27.7285714286,23.3,22.0
1993-06-21/1993-06-27,1993-06-25,17.7128571429,296.294285714,27.3428571429,22.2,12.0
1993-06-28/1993-07-04,1993-07-02,17.9228571429,296.51,28.8428571429,25.0,21.0
1993-07-05/1993-07-11,1993-07-09,17.4071428571,296.03,28.2428571429,24.4,18.0
1993-07-12/1993-07-18,1993-07-16,17.46,296.055714286,27.8857142857,22.2,16.0
1993-07-19/1993-07-25,1993-07-23,17.3171428571,295.94,28.5,24.4,16.0
1993-07-26/1993-08-01,1993-07-30,18.0342857143,296.592857143,27.9428571429,22.2,22.0
1993-08-02/1993-08-08,1993-08-06,18.3271428571,296.857142857,29.0285714286,24.4,17.0
1993-08-09/1993-08-15,1993-08-13,17.9885714286,296.561428571,29.0285714286,25.0,25.0
1993-08-16/1993-08-22,1993-08-20,17.9528571429,296.512857143,29.4142857143,24.4,23.0
1993-08-23/1993-08-29,1993-08-27,17.9171428571,296.49,28.9714285714,24.4,12.0
1993-08-30/1993-09-05,1993-09-03,17.5271428571,296.107142857,28.6571428571,24.4,25.0
1993-09-06/1993-09-12,1993-09-10,17.5614285714,296.128571429,28.4285714286,23.3,28.0
1993-09-13/1993-09-19,1993-09-17,17.7042857143,296.291428571,28.6,23.9,27.0
1993-09-20/1993-09-26,1993-09-24,17.9528571429,296.461428571,28.1571428571,23.3,18.0
1993-09-27/1993-10-03,1993-10-01,18.12,296.651428571,28.2857142857,23.9,23.0
1993-10-04/1993-10-10,1993-10-08,18.1042857143,296.632857143,28.0142857143,23.3,23.0
1993-10-11/1993-10-17,1993-10-15,17.86,296.425714286,28.4,24.4,29.0
1993-10-18/1993-10-24,1993-10-22,17.5928571429,296.168571429,28.2,23.9,38.0
1993-10-25/1993-10-31,1993-10-29,17.5557142857,296.114285714,28.0714285714,23.9,36.0
1993-11-01/1993-11-07,1993-11-05,17.4414285714,296.007142857,27.9,23.3,43.0
1993-11-08/1993-11-14,1993-11-12,16.6628571429,295.298571429,27.6428571429,23.3,46.0
1993-11-15/1993-11-21,1993-11-19,16.58,295.188571429,27.1714285714,22.8,31.0
1993-11-22/1993-11-28,1993-11-26,16.6614285714,295.255714286,26.8857142857,22.2,25.0
1993-11-29/1993-12-05,1993-12-03,16.4014285714,294.965714286,26.7857142857,21.1,40.0
1993-12-06/1993-12-12,1993-12-10,15.9328571429,294.52,26.5285714286,21.1,31.0
1993-12-13/1993-12-19,1993-12-17,15.5714285714,294.16,26.2285714286,21.1,38.0
1993-12-20/1993-12-26,1993-12-24,15.65,294.234285714,26.0428571429,21.7,30.0
1993-12-27/1994-01-02,1994-01-01,15.78,294.401428571,26.9714285714,21.7,22.0
1994-01-03/1994-01-09,1994-01-08,14.9514285714,293.585714286,25.5,21.1,31.0
1994-01-10/1994-01-16,1994-01-15,15.0971428571,293.721428571,25.4571428571,21.1,26.0
1994-01-17/1994-01-23,1994-01-22,14.7757142857,293.37,25.0857142857,20.0,35.0
1994-01-24/1994-01-30,1994-01-29,14.9385714286,293.531428571,25.3285714286,20.6,36.0
1994-01-31/1994-02-06,1994-02-05,14.6342857143,293.23,25.7857142857,20.6,39.0
1994-02-07/1994-02-13,1994-02-12,14.2885714286,292.852857143,25.2571428571,21.1,25.0
1994-02-14/1994-02-20,1994-02-19,14.02,292.577142857,25.7,21.1,31.0
1994-02-21/1994-02-27,1994-02-26,14.1571428571,292.672857143,25.7428571429,20.6,37.0
1994-02-28/1994-03-06,1994-03-05,14.5585714286,293.128571429,25.3142857143,20.6,33.0
1994-03-07/1994-03-13,1994-03-12,15.2585714286,293.887142857,25.8857142857,21.7,25.0
1994-03-14/1994-03-20,1994-03-19,14.3342857143,292.864285714,25.8428571429,21.1,24.0
1994-03-21/1994-03-27,1994-03-26,14.6171428571,293.175714286,26.7285714286,20.6,18.0
1994-03-28/1994-04-03,1994-04-02,14.9457142857,293.532857143,26.7,21.1,23.0
1994-04-04/1994-04-10,1994-04-09,14.5471428571,293.151428571,26.4285714286,21.7,13.0
1994-04-11/1994-04-17,1994-04-16,15.1471428571,293.734285714,25.9714285714,21.1,18.0
1994-04-18/1994-04-24,1994-04-23,14.2942857143,292.852857143,25.9714285714,22.2,14.0
1994-04-25/1994-05-01,1994-04-30,14.8814285714,293.455714286,26.6714285714,22.2,17.0
1994-05-02/1994-05-08,1994-05-07,16.6214285714,295.235714286,27.7571428571,22.8,22.0
1994-05-09/1994-05-15,1994-05-14,16.28,294.924285714,27.4142857143,23.9,13.0
1994-05-16/1994-05-22,1994-05-21,16.7671428571,295.384285714,27.7142857143,22.8,24.0
1994-05-23/1994-05-29,1994-05-28,17.4871428571,296.064285714,29.1,24.4,31.0
1994-05-30/1994-06-05,1994-06-04,16.7128571429,295.342857143,28.5714285714,23.3,34.0
1994-06-06/1994-06-12,1994-06-11,17.0157142857,295.642857143,28.2285714286,23.3,31.0
1994-06-13/1994-06-19,1994-06-18,16.8314285714,295.491428571,28.3285714286,24.4,31.0
1994-06-20/1994-06-26,1994-06-25,16.8371428571,295.462857143,28.0714285714,23.9,38.0
1994-06-27/1994-07-03,1994-07-02,17.2285714286,295.852857143,28.4,23.9,49.0
1994-07-04/1994-07-10,1994-07-09,16.4785714286,295.154285714,27.9285714286,23.9,42.0
1994-07-11/1994-07-17,1994-07-16,16.5028571429,295.168571429,28.1714285714,23.9,49.0
1994-07-18/1994-07-24,1994-07-23,16.8828571429,295.562857143,28.2571428571,23.9,55.0
1994-07-25/1994-07-31,1994-07-30,16.58,295.237142857,28.5142857143,24.4,80.0
1994-08-01/1994-08-07,1994-08-06,16.7085714286,295.362857143,28.2571428571,23.9,84.0
1994-08-08/1994-08-14,1994-08-13,16.8314285714,295.465714286,28.3857142857,23.9,72.0
1994-08-15/1994-08-21,1994-08-20,16.8642857143,295.487142857,28.5142857143,24.4,89.0
1994-08-22/1994-08-28,1994-08-27,17.3385714286,295.931428571,28.5714285714,24.4,115.0
1994-08-29/1994-09-04,1994-09-03,17.7057142857,296.295714286,29.4285714286,25.6,179.0
1994-09-05/1994-09-11,1994-09-10,17.5214285714,296.131428571,29.2857142857,24.4,202.0
1994-09-12/1994-09-18,1994-09-17,17.3057142857,295.907142857,28.5571428571,23.9,272.0
1994-09-19/1994-09-25,1994-09-24,17.3542857143,295.961428571,28.3714285714,24.4,302.0
1994-09-26/1994-10-02,1994-10-01,17.2485714286,295.821428571,28.0142857143,23.3,395.0
1994-10-03/1994-10-09,1994-10-08,16.7442857143,295.362857143,28.7142857143,24.4,426.0
1994-10-10/1994-10-16,1994-10-15,16.9,295.481428571,28.3285714286,23.9,461.0
1994-10-17/1994-10-23,1994-10-22,17.1242857143,295.685714286,28.5714285714,23.9,381.0
1994-10-24/1994-10-30,1994-10-29,17.6414285714,296.171428571,27.6714285714,23.3,333.0
1994-10-31/1994-11-06,1994-11-05,17.2642857143,295.845714286,28.1571428571,24.4,353.0
1994-11-07/1994-11-13,1994-11-12,16.9842857143,295.58,27.3142857143,22.2,410.0
1994-11-14/1994-11-20,1994-11-19,17.6442857143,296.174285714,27.2857142857,22.2,364.0
1994-11-21/1994-11-27,1994-11-26,17.8485714286,296.377142857,27.8571428571,23.3,359.0
1994-11-28/1994-12-04,1994-12-03,16.1785714286,294.812857143,26.8857142857,21.1,288.0
1994-12-05/1994-12-11,1994-12-10,16.58,295.204285714,26.3714285714,22.2,221.0
1994-12-12/1994-12-18,1994-12-17,15.3271428571,293.938571429,26.5857142857,21.7,149.0
1994-12-19/1994-12-25,1994-12-24,15.5957142857,294.211428571,26.6428571429,22.2,112.0
1994-12-26/1995-01-01,1995-01-01,17.0671428571,295.674285714,27.3142857143,22.2,154.0
1995-01-02/1995-01-08,1995-01-08,14.25,292.734285714,25.7,20.0,91.0
1995-01-09/1995-01-15,1995-01-15,14.6985714286,293.308571429,25.7714285714,21.7,72.0
1995-01-16/1995-01-22,1995-01-22,14.2814285714,292.83,24.7571428571,20.0,56.0
1995-01-23/1995-01-29,1995-01-29,14.9471428571,293.532857143,26.1285714286,20.6,46.0
1995-01-30/1995-02-05,1995-02-05,15.2742857143,293.91,25.5,21.1,37.0
1995-02-06/1995-02-12,1995-02-12,14.46,293.025714286,26.0857142857,20.0,26.0
1995-02-13/1995-02-19,1995-02-19,15.2271428571,293.882857143,26.6285714286,20.6,17.0
1995-02-20/1995-02-26,1995-02-26,14.53,293.132857143,25.9285714286,21.7,17.0
1995-02-27/1995-03-05,1995-03-05,14.8528571429,293.444285714,25.2428571429,20.0,20.0
1995-03-06/1995-03-12,1995-03-12,15.1914285714,293.811428571,25.5,21.1,11.0
1995-03-13/1995-03-19,1995-03-19,14.3042857143,292.821428571,25.2571428571,21.1,7.0
1995-03-20/1995-03-26,1995-03-26,12.4814285714,290.631428571,24.6285714286,18.9,16.0
1995-03-27/1995-04-02,1995-04-02,12.3314285714,290.378571429,25.2428571429,20.0,14.0
1995-04-03/1995-04-09,1995-04-09,14.1228571429,292.555714286,25.9714285714,19.4,16.0
1995-04-10/1995-04-16,1995-04-16,15.7357142857,294.338571429,27.2857142857,22.8,5.0
1995-04-17/1995-04-23,1995-04-23,15.01,293.554285714,26.6571428571,21.1,2.0
1995-04-24/1995-04-30,1995-04-30,13.69,292.1,26.3285714286,21.7,6.0
1995-05-01/1995-05-07,1995-05-07,15.6171428571,294.202857143,27.8428571429,22.2,5.0
1995-05-08/1995-05-14,1995-05-14,16.8228571429,295.428571429,27.7714285714,22.8,4.0
1995-05-15/1995-05-21,1995-05-21,16.7885714286,295.398571429,26.9142857143,21.7,3.0
1995-05-22/1995-05-28,1995-05-28,17.4128571429,295.994285714,27.2285714286,22.2,4.0
1995-05-29/1995-06-04,1995-06-04,17.4114285714,295.992857143,27.7,23.3,16.0
1995-06-05/1995-06-11,1995-06-11,17.2171428571,295.827142857,27.3,22.8,8.0
1995-06-12/1995-06-18,1995-06-18,17.2957142857,295.892857143,27.7714285714,22.8,7.0
1995-06-19/1995-06-25,1995-06-25,18.0528571429,296.625714286,28.8428571429,24.4,10.0
1995-06-26/1995-07-02,1995-07-02,18.2071428571,296.741428571,29.2142857143,24.4,14.0
1995-07-03/1995-07-09,1995-07-09,17.5657142857,296.145714286,29.6571428571,25.0,7.0
1995-07-10/1995-07-16,1995-07-16,18.0128571429,296.582857143,29.2857142857,24.4,9.0
1995-07-17/1995-07-23,1995-07-23,18.3542857143,296.848571429,29.2285714286,25.0,11.0
1995-07-24/1995-07-30,1995-07-30,18.7771428571,297.244285714,28.5571428571,23.9,23.0
1995-07-31/1995-08-06,1995-08-06,18.6728571429,297.11,28.7,23.9,17.0
1995-08-07/1995-08-13,1995-08-13,18.0428571429,296.558571429,29.0,23.3,19.0
1995-08-14/1995-08-20,1995-08-20,18.8571428571,297.27,30.0714285714,25.6,24.0
1995-08-21/1995-08-27,1995-08-27,18.4042857143,296.887142857,28.4285714286,23.3,17.0
1995-08-28/1995-09-03,1995-09-03,18.3971428571,296.85,29.1142857143,24.4,28.0
1995-09-04/1995-09-10,1995-09-10,18.5457142857,296.994285714,29.5714285714,23.9,40.0
1995-09-11/1995-09-17,1995-09-17,18.63,297.051428571,29.3714285714,24.4,33.0
1995-09-18/1995-09-24,1995-09-24,18.5285714286,296.964285714,29.5857142857,25.0,31.0
1995-09-25/1995-10-01,1995-10-01,18.2542857143,296.771428571,29.9571428571,25.6,33.0
1995-10-02/1995-10-08,1995-10-08,18.1457142857,296.66,28.0571428571,23.9,29.0
1995-10-09/1995-10-15,1995-10-15,18.1385714286,296.634285714,28.3857142857,24.4,30.0
1995-10-16/1995-10-22,1995-10-22,17.6214285714,296.161428571,27.8428571429,23.3,36.0
1995-10-23/1995-10-29,1995-10-29,17.8471428571,296.337142857,27.4714285714,23.3,48.0
1995-10-30/1995-11-05,1995-11-05,17.67,296.17,28.0428571429,23.3,40.0
1995-11-06/1995-11-12,1995-11-12,16.6042857143,295.22,27.2285714286,23.3,28.0
