,actual,predicted_mean
2006-11-20/2006-11-26,21.0,12.12574409735944
2006-11-27/2006-12-03,7.0,22.647327248751907
2006-12-04/2006-12-10,19.0,2.8555412284011332
2006-12-11/2006-12-17,10.0,21.111597677694803
2006-12-18/2006-12-24,13.0,9.12158849468851
2006-12-25/2006-12-31,13.0,12.651817259693797
2007-01-01/2007-01-07,10.0,12.124150865963943
2007-01-08/2007-01-14,8.0,6.883187688562316
2007-01-15/2007-01-21,21.0,6.576309465186836
2007-01-22/2007-01-28,11.0,22.78357540599676
2007-01-29/2007-02-04,9.0,9.885372771898272
2007-02-05/2007-02-11,14.0,8.155545327020393
2007-02-12/2007-02-18,14.0,13.482532850201718
2007-02-19/2007-02-25,15.0,12.867063429262158
2007-02-26/2007-03-04,18.0,13.964339956396186
2007-03-05/2007-03-11,16.0,17.33604868273014
2007-03-12/2007-03-18,12.0,15.192858017938462
2007-03-19/2007-03-25,20.0,11.260053944229742
2007-03-26/2007-04-01,8.0,22.637265875602786
2007-04-02/2007-04-08,3.0,6.832275131184595
2007-04-09/2007-04-15,13.0,1.0078984755607705
2007-04-16/2007-04-22,4.0,15.429796781580915
2007-04-23/2007-04-29,1.0,4.962888227535015
2007-04-30/2007-05-06,10.0,0.6252037447098595
2007-05-07/2007-05-13,8.0,14.33208637983512
2007-05-14/2007-05-20,13.0,11.776764125780629
2007-05-21/2007-05-27,10.0,15.64678235816715
2007-05-28/2007-06-03,21.0,14.542615506945667
2007-06-04/2007-06-10,18.0,27.031392187527
2007-06-11/2007-06-17,21.0,21.23188701142466
2007-06-18/2007-06-24,34.0,23.638007724518257
2007-06-25/2007-07-01,25.0,39.991360259611554
2007-07-02/2007-07-08,34.0,26.745545380566526
2007-07-09/2007-07-15,33.0,38.111791489020995
2007-07-16/2007-07-22,40.0,36.25320835682611
2007-07-23/2007-07-29,42.0,46.0763879582581
2007-07-30/2007-08-05,36.0,45.771449839040024
2007-08-06/2007-08-12,72.0,38.5809305474778
2007-08-13/2007-08-19,75.0,81.20181491345562
2007-08-20/2007-08-26,76.0,81.13805802425152
2007-08-27/2007-09-02,92.0,77.47278253507744
2007-09-03/2007-09-09,71.0,95.69531500155043
2007-09-10/2007-09-16,112.0,69.26353121680881
2007-09-17/2007-09-23,106.0,119.3777612810528
2007-09-24/2007-09-30,101.0,110.34390371822705
2007-10-01/2007-10-07,170.0,96.92345927413915
2007-10-08/2007-10-14,135.0,183.51651120060933
2007-10-15/2007-10-21,106.0,131.88585671723183
2007-10-22/2007-10-28,68.0,94.30844986784885
2007-10-29/2007-11-04,48.0,56.849255535408815
2007-11-05/2007-11-11,48.0,39.84284291588315
2007-11-12/2007-11-18,26.0,47.48272953769029
2007-11-19/2007-11-25,33.0,21.8711592744362
2007-11-26/2007-12-02,29.0,31.054032894685463
2007-12-03/2007-12-09,17.0,28.705052356752397
2007-12-10/2007-12-16,12.0,15.822853225878491
2007-12-17/2007-12-23,13.0,10.17154561759185
2007-12-24/2007-12-30,17.0,11.225778730841542
2007-12-31/2008-01-06,15.0,15.454127886846615
2008-01-07/2008-01-13,14.0,12.274517591628703
2008-01-14/2008-01-20,15.0,13.09366194974589
2008-01-21/2008-01-27,10.0,13.806407847697091
2008-01-28/2008-02-03,9.0,6.577678416596006
2008-02-04/2008-02-10,2.0,9.145679081554286
2008-02-11/2008-02-17,6.0,-1.2311216434928778
2008-02-18/2008-02-24,8.0,5.984253224574426
2008-02-25/2008-03-02,5.0,7.351060646283567
2008-03-03/2008-03-09,1.0,2.9034397085057284
2008-03-10/2008-03-16,2.0,1.8953771410473983
2008-03-17/2008-03-23,3.0,1.7146677555116332
2008-03-24/2008-03-30,4.0,4.5615546050900075
2008-03-31/2008-04-06,3.0,4.448715809201448
2008-04-07/2008-04-13,1.0,4.16987614310448
2008-04-14/2008-04-20,3.0,0.9514456760026203
2008-04-21/2008-04-27,5.0,5.366940662848571
